datetime	open	high	low	close	volume
04.01.2000 00:00	1.02	1.02	1.0	1.0	178700
05.01.2000 00:00	1.15	1.27	1.08	1.22	2993900
07.01.2000 00:00	1.23	1.28	1.23	1.27	1495300
10.01.2000 00:00	1.31	1.39	1.26	1.34	6431000
11.01.2000 00:00	1.34	1.34	1.19	1.22	3574700
12.01.2000 00:00	1.14	1.31	1.1	1.27	4520300
13.01.2000 00:00	1.26	1.49	1.25	1.39	6953300
14.01.2000 00:00	1.45	1.54	1.41	1.5	4099100
17.01.2000 00:00	1.53	1.54	1.36	1.38	4095600
18.01.2000 00:00	1.36	1.48	1.31	1.32	4957600
19.01.2000 00:00	1.32	1.33	1.21	1.22	4174300
20.01.2000 00:00	1.28	1.34	1.26	1.34	3395700
21.01.2000 00:00	1.32	1.39	1.29	1.37	4235500
24.01.2000 00:00	1.37	1.39	1.23	1.24	3543800
25.01.2000 00:00	1.18	1.24	1.13	1.19	4873200
26.01.2000 00:00	1.2	1.27	1.18	1.25	2782300
27.01.2000 00:00	1.26	1.34	1.26	1.33	3834300
28.01.2000 00:00	1.32	1.35	1.2	1.2	4414900
31.01.2000 00:00	1.15	1.18	1.12	1.14	2673500
01.02.2000 00:00	1.16	1.21	1.12	1.13	2733200
02.02.2000 00:00	1.15	1.19	1.12	1.14	2627100
03.02.2000 00:00	1.14	1.23	1.12	1.21	3565100
04.02.2000 00:00	1.22	1.26	1.22	1.24	1785100
07.02.2000 00:00	1.25	1.28	1.22	1.24	2833300
08.02.2000 00:00	1.24	1.31	1.24	1.3	3549400
09.02.2000 00:00	1.33	1.38	1.3	1.31	4565800
10.02.2000 00:00	1.28	1.33	1.28	1.3	2544400
11.02.2000 00:00	1.32	1.34	1.29	1.3	1915700
14.02.2000 00:00	1.36	1.45	1.32	1.32	3385500
15.02.2000 00:00	1.33	1.33	1.27	1.27	1750000
16.02.2000 00:00	1.29	1.34	1.29	1.34	2835600
17.02.2000 00:00	1.32	1.39	1.3	1.38	3051200
18.02.2000 00:00	1.37	1.39	1.36	1.37	1407300
21.02.2000 00:00	1.35	1.37	1.32	1.35	1670300
22.02.2000 00:00	1.37	1.39	1.36	1.37	2334700
23.02.2000 00:00	1.38	1.42	1.38	1.4	2728600
24.02.2000 00:00	1.41	1.45	1.41	1.43	1815500
25.02.2000 00:00	1.41	1.43	1.35	1.37	2414600
28.02.2000 00:00	1.33	1.36	1.29	1.3	2236800
29.02.2000 00:00	1.33	1.36	1.31	1.35	2212200
01.03.2000 00:00	1.37	1.4	1.36	1.39	1937800
02.03.2000 00:00	1.4	1.4	1.36	1.37	1993800
03.03.2000 00:00	1.37	1.41	1.35	1.41	1991300
06.03.2000 00:00	1.43	1.45	1.4	1.41	2975100
08.03.2000 00:00	1.4	1.48	1.38	1.47	3270400
09.03.2000 00:00	1.51	1.5699999999999998	1.51	1.54	5633900
10.03.2000 00:00	1.5699999999999998	1.64	1.52	1.62	10725100
13.03.2000 00:00	1.5699999999999998	1.62	1.51	1.53	4959500
14.03.2000 00:00	1.5699999999999998	1.6	1.55	1.5699999999999998	6575600
15.03.2000 00:00	1.5699999999999998	1.5699999999999998	1.48	1.49	8480500
16.03.2000 00:00	1.52	1.54	1.42	1.44	6395200
17.03.2000 00:00	1.47	1.5	1.41	1.43	3737200
20.03.2000 00:00	1.42	1.42	1.37	1.4	2965300
21.03.2000 00:00	1.38	1.46	1.37	1.46	2310700
22.03.2000 00:00	1.5	1.53	1.47	1.51	3680400
23.03.2000 00:00	1.53	1.6	1.5	1.53	7907500
24.03.2000 00:00	1.47	1.59	1.47	1.52	5049700
27.03.2000 00:00	1.47	1.59	1.47	1.52	4261800
28.03.2000 00:00	1.44	1.46	1.39	1.4	2014100
29.03.2000 00:00	1.4	1.44	1.4	1.44	1118100
30.03.2000 00:00	1.43	1.43	1.36	1.39	1652600
31.03.2000 00:00	1.36	1.42	1.32	1.42	2109900
03.04.2000 00:00	1.42	1.42	1.37	1.39	1693900
04.04.2000 00:00	1.39	1.55	1.38	1.52	8415900
05.04.2000 00:00	1.48	1.51	1.39	1.4	4885300
06.04.2000 00:00	1.41	1.46	1.41	1.43	2336400
07.04.2000 00:00	1.42	1.43	1.39	1.42	1931500
