datetime	open	high	low	close	volume
07.12.2001 00:00	14.73	14.73	14.73	14.73	30000
10.12.2001 00:00	15.35	15.35	14.71	14.8	71700
11.12.2001 00:00	14.9	15.1	14.88	15.09	348300
12.12.2001 00:00	14.9	15.1	14.88	15.09	348300
13.12.2001 00:00	15.04	15.04	14.35	14.35	681300
14.12.2001 00:00	14.5	14.5	14.24	14.35	156700
17.12.2001 00:00	14.58	14.6	14.16	14.54	171800
18.12.2001 00:00	14.55	14.72	14.35	14.41	585300
19.12.2001 00:00	14.59	14.85	14.36	14.6	402300
20.12.2001 00:00	14.89	14.89	14.48	14.6	352400
21.12.2001 00:00	14.69	14.84	14.48	14.8	185300
24.12.2001 00:00	14.84	15.1	14.75	14.9	454000
25.12.2001 00:00	15.0	15.05	14.76	14.8	221500
26.12.2001 00:00	14.9	14.9	14.75	14.8	85700
27.12.2001 00:00	14.9	15.03	14.85	15.0	397800
28.12.2001 00:00	18.32	18.32	15.0	15.31	1067100
31.12.2001 00:00	15.33	15.81	15.31	15.74	160200
01.01.2002 00:00	15.33	15.81	15.31	15.74	160200
02.01.2002 00:00	15.33	15.81	15.31	15.74	160200
03.01.2002 00:00	15.7	16.75	15.7	16.65	639700
04.01.2002 00:00	17.09	17.9	16.4	17.9	1181900
07.01.2002 00:00	17.09	17.9	16.4	17.9	1181900
08.01.2002 00:00	17.99	18.8	17.8	18.4	1346800
09.01.2002 00:00	18.56	18.78	18.07	18.35	1112200
10.01.2002 00:00	18.22	18.22	17.63	17.7	702100
11.01.2002 00:00	17.5	17.74	17.41	17.61	402900
14.01.2002 00:00	17.59	17.59	16.53	16.69	605500
15.01.2002 00:00	16.22	17.18	16.18	17.0	904800
16.01.2002 00:00	16.8	17.21	16.63	16.8	624700
17.01.2002 00:00	16.5	17.3	16.5	17.2	1190700
18.01.2002 00:00	17.13	17.55	16.75	17.36	1399600
21.01.2002 00:00	17.46	17.74	17.15	17.52	749900
22.01.2002 00:00	17.7	18.13	17.55	18.05	1046600
23.01.2002 00:00	18.03	18.11	17.4	17.4	1067700
24.01.2002 00:00	17.4	17.4	16.07	16.29	1439200
25.01.2002 00:00	16.15	16.2	15.2	15.4	1798200
28.01.2002 00:00	15.59	15.79	15.45	15.6	808400
29.01.2002 00:00	15.78	16.25	15.71	16.18	1259400
30.01.2002 00:00	15.8	15.8	15.35	15.35	650300
31.01.2002 00:00	15.95	15.95	15.5	15.64	259100
01.02.2002 00:00	15.68	15.89	15.58	15.7	315300
04.02.2002 00:00	15.52	15.6	15.32	15.32	320600
05.02.2002 00:00	15.2	15.38	15.02	15.35	289600
06.02.2002 00:00	15.26	15.85	15.26	15.6	609700
07.02.2002 00:00	15.64	15.8	15.5	15.75	257700
08.02.2002 00:00	15.8	15.8	15.34	15.43	479100
11.02.2002 00:00	15.6	15.8	15.51	15.65	392000
12.02.2002 00:00	15.8	16.33	15.8	15.88	1821900
13.02.2002 00:00	16.06	16.2	15.95	16.17	757800
14.02.2002 00:00	15.96	16.64	15.85	16.52	1383400
15.02.2002 00:00	16.81	16.81	16.29	16.4	1421900
18.02.2002 00:00	16.31	16.56	16.18	16.27	438200
19.02.2002 00:00	16.11	16.28	15.72	15.84	580600
20.02.2002 00:00	15.55	15.8	15.55	15.79	313600
21.02.2002 00:00	15.99	16.2	15.9	16.04	608900
22.02.2002 00:00	16.05	16.6	16.05	16.54	1641100
25.02.2002 00:00	16.05	16.6	16.05	16.54	1641100
26.02.2002 00:00	16.5	16.6	16.0	16.0	834400
27.02.2002 00:00	16.11	16.34	15.7	15.89	706100
28.02.2002 00:00	15.8	15.98	15.55	15.68	562600
01.03.2002 00:00	15.65	16.15	15.65	16.15	829400
04.03.2002 00:00	16.37	17.14	16.37	16.62	3087600
05.03.2002 00:00	16.85	16.94	16.5	16.71	1479100
06.03.2002 00:00	16.65	16.82	16.56	16.7	763200
07.03.2002 00:00	16.85	17.25	16.85	17.14	2449200
08.03.2002 00:00	16.85	17.25	16.85	17.14	2449200
11.03.2002 00:00	17.29	18.2	17.17	17.89	5952500
12.03.2002 00:00	17.98	18.75	17.98	18.32	5312700
13.03.2002 00:00	18.41	18.9	18.32	18.42	3920700
14.03.2002 00:00	19.25	19.25	18.5	18.9	2191100
15.03.2002 00:00	19.0	19.2	18.87	19.0	2737000
18.03.2002 00:00	19.26	19.64	19.26	19.43	3345800
19.03.2002 00:00	19.5	19.6	19.13	19.13	2842700
20.03.2002 00:00	18.91	19.05	18.35	18.43	2402900
21.03.2002 00:00	18.15	18.76	18.1	18.7	1644100
22.03.2002 00:00	19.21	19.65	19.07	19.5	3854500
25.03.2002 00:00	19.65	20.5	19.65	19.9	5019100
26.03.2002 00:00	20.6	21.1	20.56	20.82	5242300
27.03.2002 00:00	20.95	21.2	20.59	21.12	2308100
28.03.2002 00:00	21.25	22.13	21.1	22.0	3896300
29.03.2002 00:00	21.78	21.94	21.26	21.42	2039600
01.04.2002 00:00	21.15	21.3	21.05	21.25	879500
02.04.2002 00:00	21.08	21.25	20.05	20.1	4061600
03.04.2002 00:00	20.7	20.9	20.1	20.28	3619700
04.04.2002 00:00	20.0	20.3	19.7	20.09	3406700
05.04.2002 00:00	19.8	20.2	19.8	20.1	1278100
08.04.2002 00:00	20.08	20.45	19.95	20.29	1636200
09.04.2002 00:00	20.98	20.98	20.49	20.85	2195900
10.04.2002 00:00	20.71	21.14	20.62	20.95	3252700
11.04.2002 00:00	21.35	21.47	20.95	21.4	4130100
12.04.2002 00:00	21.3	21.47	20.8	21.2	2584000
15.04.2002 00:00	21.1	21.39	21.01	21.23	1066100
16.04.2002 00:00	21.3	21.7	21.17	21.45	1601200
17.04.2002 00:00	21.81	21.9	21.6	21.67	3379800
18.04.2002 00:00	21.65	23.19	21.65	22.99	5859900
19.04.2002 00:00	22.81	24.0	22.81	23.95	8077200
22.04.2002 00:00	23.85	23.94	23.2	23.25	3655900
23.04.2002 00:00	23.1	23.93	22.87	23.53	3254100
24.04.2002 00:00	23.79	25.0	23.79	24.96	7489200
25.04.2002 00:00	25.01	25.55	24.55	25.3	7313300
26.04.2002 00:00	26.01	26.7	25.82	26.57	6059800
29.04.2002 00:00	26.71	26.8	26.17	26.21	1763800
30.04.2002 00:00	26.31	26.32	24.78	25.18	3250100
01.05.2002 00:00	26.31	26.32	24.78	25.18	3250100
02.05.2002 00:00	26.31	26.32	24.78	25.18	3250100
03.05.2002 00:00	26.31	26.32	24.78	25.18	3250100
06.05.2002 00:00	25.02	25.06	24.64	24.94	1739300
07.05.2002 00:00	24.7	24.7	23.21	23.23	2552400
08.05.2002 00:00	23.4	24.37	23.4	24.32	2012100
09.05.2002 00:00	23.4	24.37	23.4	24.32	2012100
10.05.2002 00:00	23.4	24.37	23.4	24.32	2012100
13.05.2002 00:00	24.23	24.23	23.06	23.75	2343800
14.05.2002 00:00	24.0	24.44	23.86	24.29	3214800
15.05.2002 00:00	24.5	25.49	24.45	25.27	6818300
16.05.2002 00:00	25.31	26.3	25.29	25.85	5405700
17.05.2002 00:00	25.98	26.55	25.98	26.29	3530900
20.05.2002 00:00	26.28	27.0	26.15	26.49	4599000
21.05.2002 00:00	26.18	26.53	26.0	26.21	2918500
22.05.2002 00:00	26.13	26.34	25.23	25.56	3041400
23.05.2002 00:00	25.76	26.42	25.4	25.7	4801200
24.05.2002 00:00	25.7	25.7	24.7	25.03	2799800
27.05.2002 00:00	25.0	25.29	24.71	25.29	1049500
28.05.2002 00:00	25.08	25.9	24.3	24.8	2724700
29.05.2002 00:00	24.61	24.89	23.57	23.8	2448500
30.05.2002 00:00	24.0	24.45	22.91	23.2	2867100
31.05.2002 00:00	22.9	23.67	22.61	23.59	2292500
03.06.2002 00:00	24.45	24.45	23.05	23.06	1484300
04.06.2002 00:00	22.9	22.95	22.3	22.64	1548000
05.06.2002 00:00	23.0	23.47	22.51	23.45	1181100
06.06.2002 00:00	23.45	24.48	23.25	24.46	2502700
07.06.2002 00:00	24.45	25.25	23.7	24.11	1292800
10.06.2002 00:00	24.28	24.6	24.03	24.22	1048400
11.06.2002 00:00	24.24	24.46	24.0	24.25	1104500
12.06.2002 00:00	24.24	24.46	24.0	24.25	1104500
13.06.2002 00:00	24.4	24.78	24.23	24.23	1135700
14.06.2002 00:00	24.12	24.13	23.5	23.63	1260000
17.06.2002 00:00	23.87	23.87	23.3	23.51	1276700
18.06.2002 00:00	23.65	23.71	22.66	23.0	1363500
19.06.2002 00:00	22.3	22.98	22.11	22.22	993200
20.06.2002 00:00	22.2	22.69	21.05	21.11	1443600
21.06.2002 00:00	21.02	21.2	19.51	20.99	2557700
24.06.2002 00:00	20.99	21.15	20.12	20.18	1329300
25.06.2002 00:00	20.24	21.0	20.24	20.7	965100
26.06.2002 00:00	19.94	20.3	19.6	20.1	1540600
27.06.2002 00:00	20.2	21.27	20.16	21.03	2409400
28.06.2002 00:00	21.2	21.89	21.2	21.89	3401200
01.07.2002 00:00	21.8	22.14	21.6	22.02	851800
02.07.2002 00:00	21.96	21.96	20.93	21.0	1419400
03.07.2002 00:00	20.99	21.16	20.25	21.05	1096500
04.07.2002 00:00	21.4	21.5	21.1	21.3	683100
05.07.2002 00:00	21.3	22.1	21.05	21.77	1230900
08.07.2002 00:00	21.9	22.0	21.4	21.49	1514200
09.07.2002 00:00	21.2	21.64	21.1	21.45	1586100
10.07.2002 00:00	21.2	21.68	21.2	21.55	1243800
11.07.2002 00:00	21.47	21.47	20.81	21.22	1023300
12.07.2002 00:00	21.13	21.6	20.77	20.8	1180800
15.07.2002 00:00	20.85	21.06	20.67	20.71	467800
16.07.2002 00:00	20.51	20.79	20.21	20.26	569000
17.07.2002 00:00	20.1	21.65	20.1	21.63	1285800
18.07.2002 00:00	21.64	21.84	21.31	21.8	753200
19.07.2002 00:00	21.5	21.68	21.0	21.41	840200
22.07.2002 00:00	21.28	21.51	20.97	21.25	2404900
23.07.2002 00:00	20.95	21.1	20.4	20.8	788000
24.07.2002 00:00	20.22	20.5	19.82	20.16	1295100
25.07.2002 00:00	20.35	21.4	19.55	19.8	937800
26.07.2002 00:00	19.79	19.99	18.71	19.63	715100
29.07.2002 00:00	19.7	20.3	19.63	20.3	763800
30.07.2002 00:00	20.2	20.28	19.46	19.5	830300
31.07.2002 00:00	19.45	19.77	18.85	18.9	1001300
01.08.2002 00:00	19.25	19.59	19.2	19.38	374100
02.08.2002 00:00	19.2	19.38	18.82	19.05	210800
05.08.2002 00:00	18.8	18.8	17.6	17.69	1511500
06.08.2002 00:00	17.25	18.18	17.2	17.87	467700
07.08.2002 00:00	18.2	18.35	18.0	18.11	682300
08.08.2002 00:00	18.3	18.84	18.2	18.49	640300
09.08.2002 00:00	18.5	18.69	18.22	18.45	246900
12.08.2002 00:00	18.58	18.78	18.38	18.7	403300
13.08.2002 00:00	18.9	19.3	18.8	19.25	789700
14.08.2002 00:00	19.03	19.9	18.93	19.9	630800
15.08.2002 00:00	19.78	20.5	19.76	20.16	896900
16.08.2002 00:00	20.1	20.29	19.95	20.26	475900
19.08.2002 00:00	20.17	20.69	20.15	20.66	777700
20.08.2002 00:00	20.76	21.0	20.6	20.85	1132200
21.08.2002 00:00	20.8	21.44	20.8	21.31	1542500
22.08.2002 00:00	21.64	21.74	21.23	21.47	636600
23.08.2002 00:00	21.5	21.52	20.71	20.71	905700
26.08.2002 00:00	20.6	20.84	20.52	20.6	240700
27.08.2002 00:00	20.75	21.37	20.66	21.28	780700
28.08.2002 00:00	21.02	21.25	21.0	21.19	632200
29.08.2002 00:00	21.0	21.1	20.4	20.7	424100
30.08.2002 00:00	20.8	21.45	20.8	21.33	828900
02.09.2002 00:00	21.21	21.44	20.7	20.82	526900
03.09.2002 00:00	20.79	21.2	20.67	20.93	456200
